Азорские острова,2346587
Алжир,1253079
Ангола,1261906
Бенин,1268465
Ботсвана,1265547
Буркина-Фасо,1461080
Бурунди,1269399
Габон,1324195
Гамбия,23424821
Гана,1330595
Гвинея,23424835
Гвинея-Бисау,1559861
Джибути,23424797
Египет,1521894
Замбия,23425003
Зимбабве,1467052
Кабо-Верде,23424794
Камерун,1305860
Кения,1528488
Коморы,1306106
Конго,1279685
Конго (Дем. Република),1290062
Кот-д'Ивуар,1347063
Лесото,1352389
Либерия,1344455
Ливия,1353281
Маврикий,23424894
Мавритания,1504735
Мадагаскар,23424883
Малави,1367476
Мали,1369729
Марокко,1539359
Мозамбик,1550363
Намибия,23424987
Нигер,1505949
Нигерия,23424908
Руанда,1511263
Сан-Томе и Принсипи,23424966
Свазиленд,23424993
Сейшельские острова,23424941
Сенегал,1411986
Сомали,23424949
Судан,1433559
Сьерра-Леоне,1419467
Танзания,23424973
Того,1440110
Тунис,23424967
Уганда,1451962
ЦАР,1306666
Чад,1277402
Экваториальная Гвинея,23424804
Эритрея,23424806
Эфиопия,23424808
ЮАР,1586638
Южный Судан,1433205
Амирантские острова,12466344
Каргадос-Карахос,23424894
Гибралтар,472800
Канарские острова,764814
Мадейра,2346570
Майотта,23424886
Мальта,483559
Мелилья,767022
Остров Альборан,767022
Остров Коэтиви,12466285
Остров Перехиль,757400
Остров Платт,12466344
Остров Родригес,23424894
Острова Агалега,2346237
Острова Алусемас,1531158
Острова Альдабра,56557153
Острова Альфонс,23424941
"Острова Святой Елены, Вознесения и Тристан-да-Кунья",23424944
Острова Фаркуар,23424941
Острова Чафаринас,12478622
Пеньон-де-Велес-де-ла-Гомера,1542248
Реюньон,23424931
Сеута,757400
